[20250513_002246] Deteksi: Plat Nomor | Confidence: 61.39% | Gambar: plat_20250513_002246.jpg
[20250513_002254] Deteksi: Plat Nomor | Confidence: 52.55% | Gambar: plat_20250513_002254.jpg
[20250513_002254] Deteksi: Plat Nomor | Confidence: 51.80% | Gambar: plat_20250513_002254.jpg
[20250513_002254] Deteksi: Plat Nomor | Confidence: 51.80% | Gambar: plat_20250513_002254.jpg
[20250513_002255] Deteksi: Plat Nomor | Confidence: 51.93% | Gambar: plat_20250513_002255.jpg
[20250513_002255] Deteksi: Plat Nomor | Confidence: 51.93% | Gambar: plat_20250513_002255.jpg
[20250513_002255] Deteksi: Plat Nomor | Confidence: 63.91% | Gambar: plat_20250513_002255.jpg
[20250513_002255] Deteksi: Plat Nomor | Confidence: 64.25% | Gambar: plat_20250513_002255.jpg
[20250513_002255] Deteksi: Plat Nomor | Confidence: 64.25% | Gambar: plat_20250513_002255.jpg
[20250513_002255] Deteksi: Plat Nomor | Confidence: 60.02% | Gambar: plat_20250513_002255.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 60.02% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 76.04% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 70.15% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 77.18% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 77.18% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 74.41% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 74.41% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 76.34% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 76.36% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 76.36% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 75.06% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 68.72% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 73.85% | Gambar: plat_20250513_002256.jpg
[20250513_002256] Deteksi: Plat Nomor | Confidence: 73.85% | Gambar: plat_20250513_002256.jpg
